all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all unit.n.05 thing.n.12, no thing.n.12 causal_agent.n.01: no unit.n.05 causal_agent.n.01; some unit.n.05 causal_agent.n.01
all agreement.n.01 message.n.02, no message.n.02 expressive_style.n.01: no agreement.n.01 expressive_style.n.01; some agreement.n.01 expressive_style.n.01
all line.n.03 arrangement.n.02, no arrangement.n.02 varna.n.02: no line.n.03 varna.n.02; some line.n.03 varna.n.02
all tank.n.02 whole.n.02, no whole.n.02 discard.n.01: no tank.n.02 discard.n.01; some tank.n.02 discard.n.01
all pollutant.n.01 material.n.01, no material.n.01 body_substance.n.01: no pollutant.n.01 body_substance.n.01; some pollutant.n.01 body_substance.n.01
all conveyance.n.03 whole.n.02, no whole.n.02 snake.n.05: no conveyance.n.03 snake.n.05; some conveyance.n.03 snake.n.05
all aquarium.n.01 artifact.n.01, no artifact.n.01 item.n.03: no aquarium.n.01 item.n.03; some aquarium.n.01 item.n.03
all producer.n.02 creator.n.02, no creator.n.02 adoptee.n.01: no producer.n.02 adoptee.n.01; some producer.n.02 adoptee.n.01
all apostle.n.02 christian.n.01, no christian.n.01 penitent.n.01: no apostle.n.02 penitent.n.01; some apostle.n.02 penitent.n.01
all reverence.n.03 act.n.02, no act.n.02 makeup.n.02: no reverence.n.03 makeup.n.02; some reverence.n.03 makeup.n.02
all onondaga.n.01 indian.n.01, no indian.n.01 south_american_indian.n.01: no onondaga.n.01 south_american_indian.n.01; some onondaga.n.01 south_american_indian.n.01
all remedy.n.02 medicine.n.02, no medicine.n.02 antagonist.n.03: no remedy.n.02 antagonist.n.03; some remedy.n.02 antagonist.n.03
all part.n.03 thing.n.12, no thing.n.12 substance.n.04: no part.n.03 substance.n.04; some part.n.03 substance.n.04
all region.n.03 object.n.01, no object.n.01 causal_agent.n.01: no region.n.03 causal_agent.n.01; some region.n.03 causal_agent.n.01
all housing.n.01 structure.n.01, no structure.n.01 float.n.06: no housing.n.01 float.n.06; some housing.n.01 float.n.06
all ill_health.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no ill_health.n.01 otherworld.n.01; some ill_health.n.01 otherworld.n.01
all dollar.n.01 measure.n.02, no measure.n.02 psychological_feature.n.01: no dollar.n.01 psychological_feature.n.01; some dollar.n.01 psychological_feature.n.01
all physical_condition.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no physical_condition.n.01 relation.n.01; some physical_condition.n.01 relation.n.01
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all municipality.n.01 object.n.01, no object.n.01 substance.n.04: no municipality.n.01 substance.n.04; some municipality.n.01 substance.n.04
all creation.n.02 whole.n.02, no whole.n.02 hail.n.02: no creation.n.02 hail.n.02; some creation.n.02 hail.n.02
all dwelling.n.01 housing.n.01, no housing.n.01 defensive_structure.n.01: no dwelling.n.01 defensive_structure.n.01; some dwelling.n.01 defensive_structure.n.01
all cavity.n.04 thing.n.12, no thing.n.12 substance.n.04: no cavity.n.04 substance.n.04; some cavity.n.04 substance.n.04
all mistreatment.n.01 activity.n.01, no activity.n.01 residency.n.01: no mistreatment.n.01 residency.n.01; some mistreatment.n.01 residency.n.01
all picture.n.01 object.n.01, no object.n.01 substance.n.04: no picture.n.01 substance.n.04; some picture.n.01 substance.n.04
all container.n.01 instrumentality.n.03, no instrumentality.n.03 surface.n.01: no container.n.01 surface.n.01; some container.n.01 surface.n.01
all living_thing.n.01 whole.n.02, no whole.n.02 makeweight.n.01: no living_thing.n.01 makeweight.n.01; some living_thing.n.01 makeweight.n.01
all designation.n.03 act.n.02, no act.n.02 nonevent.n.01: no designation.n.03 nonevent.n.01; some designation.n.03 nonevent.n.01
all structure.n.01 object.n.01, no object.n.01 causal_agent.n.01: no structure.n.01 causal_agent.n.01; some structure.n.01 causal_agent.n.01
all drug.n.01 agent.n.03, no agent.n.03 substance.n.04: no drug.n.01 substance.n.04; some drug.n.01 substance.n.04
all liquid.n.01 fluid.n.01, no fluid.n.01 volatile.n.01: no liquid.n.01 volatile.n.01; some liquid.n.01 volatile.n.01
all diversion.n.01 activity.n.01, no activity.n.01 distribution.n.03: no diversion.n.01 distribution.n.03; some diversion.n.01 distribution.n.03
all microorganism.n.01 object.n.01, no object.n.01 causal_agent.n.01: no microorganism.n.01 causal_agent.n.01; some microorganism.n.01 causal_agent.n.01
all solvent.n.01 medium.n.07, no medium.n.07 chemical_element.n.01: no solvent.n.01 chemical_element.n.01; some solvent.n.01 chemical_element.n.01
all growth.n.06 condition.n.01, no condition.n.01 wild.n.01: no growth.n.06 wild.n.01; some growth.n.06 wild.n.01
all living_thing.n.01 object.n.01, no object.n.01 causal_agent.n.01: no living_thing.n.01 causal_agent.n.01; some living_thing.n.01 causal_agent.n.01
all artifact.n.01 whole.n.02, no whole.n.02 discard.n.01: no artifact.n.01 discard.n.01; some artifact.n.01 discard.n.01
all aristocrat.n.01 leader.n.01, no leader.n.01 snuffler.n.01: no aristocrat.n.01 snuffler.n.01; some aristocrat.n.01 snuffler.n.01
all shelter.n.02 whole.n.02, no whole.n.02 discard.n.01: no shelter.n.02 discard.n.01; some shelter.n.02 discard.n.01
all environmentalist.n.01 reformer.n.01, no reformer.n.01 accuser.n.01: no environmentalist.n.01 accuser.n.01; some environmentalist.n.01 accuser.n.01
all mediator.n.01 communicator.n.01, no communicator.n.01 copycat.n.01: no mediator.n.01 copycat.n.01; some mediator.n.01 copycat.n.01
all animal.n.01 whole.n.02, no whole.n.02 growth.n.07: no animal.n.01 growth.n.07; some animal.n.01 growth.n.07
all artifact.n.01 whole.n.02, no whole.n.02 floater.n.07: no artifact.n.01 floater.n.07; some artifact.n.01 floater.n.07
all device.n.01 artifact.n.01, no artifact.n.01 natural_object.n.01: no device.n.01 natural_object.n.01; some device.n.01 natural_object.n.01
all pollutant.n.01 waste.n.01, no waste.n.01 particulate.n.01: no pollutant.n.01 particulate.n.01; some pollutant.n.01 particulate.n.01
all protective_covering.n.01 whole.n.02, no whole.n.02 finding.n.03: no protective_covering.n.01 finding.n.03; some protective_covering.n.01 finding.n.03
all magnet.n.01 whole.n.02, no whole.n.02 discard.n.01: no magnet.n.01 discard.n.01; some magnet.n.01 discard.n.01
all artifact.n.01 whole.n.02, no whole.n.02 head.n.17: no artifact.n.01 head.n.17; some artifact.n.01 head.n.17
all social_scientist.n.01 scientist.n.01, no scientist.n.01 experimenter.n.02: no social_scientist.n.01 experimenter.n.02; some social_scientist.n.01 experimenter.n.02
all cutting_implement.n.01 object.n.01, no object.n.01 substance.n.04: no cutting_implement.n.01 substance.n.04; some cutting_implement.n.01 substance.n.04
all time_period.n.01 measure.n.02, no measure.n.02 otherworld.n.01: no time_period.n.01 otherworld.n.01; some time_period.n.01 otherworld.n.01
all sac.n.04 cavity.n.04, no cavity.n.04 receptor.n.01: no sac.n.04 receptor.n.01; some sac.n.04 receptor.n.01
all disparagement.n.01 disrespect.n.01, no disrespect.n.01 promotion.n.01: no disparagement.n.01 promotion.n.01; some disparagement.n.01 promotion.n.01
all activity.n.01 act.n.02, no act.n.02 zap.n.01: no activity.n.01 zap.n.01; some activity.n.01 zap.n.01
all enthusiasm.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no enthusiasm.n.01 relation.n.01; some enthusiasm.n.01 relation.n.01
all property.n.02 attribute.n.02, no attribute.n.02 relation.n.01: no property.n.02 relation.n.01; some property.n.02 relation.n.01
all medicine.n.02 drug.n.01, no drug.n.01 mitogen.n.01: no medicine.n.02 mitogen.n.01; some medicine.n.02 mitogen.n.01
all sedative.n.01 agent.n.03, no agent.n.03 substance.n.04: no sedative.n.01 substance.n.04; some sedative.n.01 substance.n.04
all sexual_activity.n.01 process.n.06, no process.n.06 causal_agent.n.01: no sexual_activity.n.01 causal_agent.n.01; some sexual_activity.n.01 causal_agent.n.01
all living_thing.n.01 object.n.01, no object.n.01 causal_agent.n.01: no living_thing.n.01 causal_agent.n.01; some living_thing.n.01 causal_agent.n.01
all figure.n.06 shape.n.02, no shape.n.02 time.n.05: no figure.n.06 time.n.05; some figure.n.06 time.n.05
all instrumentality.n.03 artifact.n.01, no artifact.n.01 natural_object.n.01: no instrumentality.n.03 natural_object.n.01; some instrumentality.n.03 natural_object.n.01
all instrumentality.n.03 artifact.n.01, no artifact.n.01 living_thing.n.01: no instrumentality.n.03 living_thing.n.01; some instrumentality.n.03 living_thing.n.01
all area.n.05 artifact.n.01, no artifact.n.01 assembly.n.05: no area.n.05 assembly.n.05; some area.n.05 assembly.n.05
all artifact.n.01 whole.n.02, no whole.n.02 hail.n.02: no artifact.n.01 hail.n.02; some artifact.n.01 hail.n.02
all drug.n.01 agent.n.03, no agent.n.03 causal_agent.n.01: no drug.n.01 causal_agent.n.01; some drug.n.01 causal_agent.n.01
all ill_health.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no ill_health.n.01 relation.n.01; some ill_health.n.01 relation.n.01
all design.n.04 decoration.n.01, no decoration.n.01 creation.n.02: no design.n.04 creation.n.02; some design.n.04 creation.n.02
all consort.n.01 spouse.n.01, no spouse.n.01 nonresident.n.01: no consort.n.01 nonresident.n.01; some consort.n.01 nonresident.n.01
all housing.n.01 structure.n.01, no structure.n.01 square.n.07: no housing.n.01 square.n.07; some housing.n.01 square.n.07
all external_body_part.n.01 thing.n.12, no thing.n.12 substance.n.04: no external_body_part.n.01 substance.n.04; some external_body_part.n.01 substance.n.04
all food.n.02 matter.n.03, no matter.n.03 substance.n.04: no food.n.02 substance.n.04; some food.n.02 substance.n.04
all building.n.01 artifact.n.01, no artifact.n.01 item.n.03: no building.n.01 item.n.03; some building.n.01 item.n.03
all press.n.02 instrumentality.n.03, no instrumentality.n.03 anachronism.n.02: no press.n.02 anachronism.n.02; some press.n.02 anachronism.n.02
all physical_condition.n.01 condition.n.01, no condition.n.01 freedom.n.01: no physical_condition.n.01 freedom.n.01; some physical_condition.n.01 freedom.n.01
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all shelter.n.02 artifact.n.01, no artifact.n.01 living_thing.n.01: no shelter.n.02 living_thing.n.01; some shelter.n.02 living_thing.n.01
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all chordate.n.01 organism.n.01, no organism.n.01 life.n.10: no chordate.n.01 life.n.10; some chordate.n.01 life.n.10
all nut.n.01 whole.n.02, no whole.n.02 curio.n.01: no nut.n.01 curio.n.01; some nut.n.01 curio.n.01
all solid.n.01 matter.n.03, no matter.n.03 causal_agent.n.01: no solid.n.01 causal_agent.n.01; some solid.n.01 causal_agent.n.01
all trouser.n.01 object.n.01, no object.n.01 causal_agent.n.01: no trouser.n.01 causal_agent.n.01; some trouser.n.01 causal_agent.n.01
all natural_process.n.01 process.n.06, no process.n.06 causal_agent.n.01: no natural_process.n.01 causal_agent.n.01; some natural_process.n.01 causal_agent.n.01
all bandmaster.n.01 musician.n.02, no musician.n.02 pyrographer.n.01: no bandmaster.n.01 pyrographer.n.01; some bandmaster.n.01 pyrographer.n.01
all survival.n.03 activity.n.01, no activity.n.01 motivation.n.03: no survival.n.03 motivation.n.03; some survival.n.03 motivation.n.03
all speech.n.02 communication.n.02, no communication.n.02 otherworld.n.01: no speech.n.02 otherworld.n.01; some speech.n.02 otherworld.n.01
all environmentalist.n.01 reformer.n.01, no reformer.n.01 denier.n.03: no environmentalist.n.01 denier.n.03; some environmentalist.n.01 denier.n.03
all conductor.n.01 musician.n.02, no musician.n.02 surrealist.n.01: no conductor.n.01 surrealist.n.01; some conductor.n.01 surrealist.n.01
all organic_compound.n.01 compound.n.02, no compound.n.02 intermediate.n.01: no organic_compound.n.01 intermediate.n.01; some organic_compound.n.01 intermediate.n.01
all morality.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no morality.n.01 relation.n.01; some morality.n.01 relation.n.01
all illness.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no illness.n.01 otherworld.n.01; some illness.n.01 otherworld.n.01
all disk.n.02 whole.n.02, no whole.n.02 charm.n.03: no disk.n.02 charm.n.03; some disk.n.02 charm.n.03
all artifact.n.01 whole.n.02, no whole.n.02 ribbon.n.01: no artifact.n.01 ribbon.n.01; some artifact.n.01 ribbon.n.01
all instrumentality.n.03 object.n.01, no object.n.01 substance.n.04: no instrumentality.n.03 substance.n.04; some instrumentality.n.03 substance.n.04
all language.n.01 communication.n.02, no communication.n.02 psychological_feature.n.01: no language.n.01 psychological_feature.n.01; some language.n.01 psychological_feature.n.01
all morality.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no morality.n.01 otherworld.n.01; some morality.n.01 otherworld.n.01
all structure.n.04 part.n.03, no part.n.03 body_of_water.n.01: no structure.n.04 body_of_water.n.01; some structure.n.04 body_of_water.n.01
all halogen.n.01 group.n.01, no group.n.01 psychological_feature.n.01: no halogen.n.01 psychological_feature.n.01; some halogen.n.01 psychological_feature.n.01
all dwelling.n.01 structure.n.01, no structure.n.01 way.n.06: no dwelling.n.01 way.n.06; some dwelling.n.01 way.n.06
all tranquilizer.n.01 agent.n.03, no agent.n.03 causal_agent.n.01: no tranquilizer.n.01 causal_agent.n.01; some tranquilizer.n.01 causal_agent.n.01
all skilled_worker.n.01 worker.n.01, no worker.n.01 sagittarius.n.01: no skilled_worker.n.01 sagittarius.n.01; some skilled_worker.n.01 sagittarius.n.01
all covering.n.02 whole.n.02, no whole.n.02 curio.n.01: no covering.n.02 curio.n.01; some covering.n.02 curio.n.01
all restaurant.n.01 whole.n.02, no whole.n.02 snake.n.05: no restaurant.n.01 snake.n.05; some restaurant.n.01 snake.n.05
all picture.n.01 artifact.n.01, no artifact.n.01 congener.n.03: no picture.n.01 congener.n.03; some picture.n.01 congener.n.03
all cutter.n.06 instrumentality.n.03, no instrumentality.n.03 weight.n.04: no cutter.n.06 weight.n.04; some cutter.n.06 weight.n.04
all area.n.05 artifact.n.01, no artifact.n.01 congener.n.03: no area.n.05 congener.n.03; some area.n.05 congener.n.03
all navigator.n.03 explorer.n.01, no explorer.n.01 appointee.n.02: no navigator.n.03 appointee.n.02; some navigator.n.03 appointee.n.02
all substance.n.07 matter.n.03, no matter.n.03 causal_agent.n.01: no substance.n.07 causal_agent.n.01; some substance.n.07 causal_agent.n.01
all municipality.n.01 object.n.01, no object.n.01 causal_agent.n.01: no municipality.n.01 causal_agent.n.01; some municipality.n.01 causal_agent.n.01
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all englishman.n.01 european.n.01, no european.n.01 latin.n.02: no englishman.n.01 latin.n.02; some englishman.n.01 latin.n.02
all entrepreneur.n.01 businessperson.n.01, no businessperson.n.01 materialist.n.01: no entrepreneur.n.01 materialist.n.01; some entrepreneur.n.01 materialist.n.01
all content_word.n.01 part.n.01, no part.n.01 comparison.n.02: no content_word.n.01 comparison.n.02; some content_word.n.01 comparison.n.02
all pen.n.01 object.n.01, no object.n.01 causal_agent.n.01: no pen.n.01 causal_agent.n.01; some pen.n.01 causal_agent.n.01
all model.n.04 object.n.01, no object.n.01 causal_agent.n.01: no model.n.04 causal_agent.n.01; some model.n.04 causal_agent.n.01
all movement.n.04 group.n.01, no group.n.01 otherworld.n.01: no movement.n.04 otherworld.n.01; some movement.n.04 otherworld.n.01
all ordering.n.01 group.n.01, no group.n.01 otherworld.n.01: no ordering.n.01 otherworld.n.01; some ordering.n.01 otherworld.n.01
all place_of_business.n.01 whole.n.02, no whole.n.02 curio.n.01: no place_of_business.n.01 curio.n.01; some place_of_business.n.01 curio.n.01
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all artifact.n.01 whole.n.02, no whole.n.02 je_ne_sais_quoi.n.01: no artifact.n.01 je_ne_sais_quoi.n.01; some artifact.n.01 je_ne_sais_quoi.n.01
all living_thing.n.01 whole.n.02, no whole.n.02 curio.n.01: no living_thing.n.01 curio.n.01; some living_thing.n.01 curio.n.01
all legal_document.n.01 writing.n.02, no writing.n.02 print.n.01: no legal_document.n.01 print.n.01; some legal_document.n.01 print.n.01
all drug.n.01 agent.n.03, no agent.n.03 substance.n.04: no drug.n.01 substance.n.04; some drug.n.01 substance.n.04
all building_material.n.01 object.n.01, no object.n.01 substance.n.04: no building_material.n.01 substance.n.04; some building_material.n.01 substance.n.04
all evidence.n.03 communication.n.02, no communication.n.02 relation.n.01: no evidence.n.03 relation.n.01; some evidence.n.03 relation.n.01
all spermatophyte.n.01 organism.n.01, no organism.n.01 life.n.10: no spermatophyte.n.01 life.n.10; some spermatophyte.n.01 life.n.10
all seat.n.05 region.n.03, no region.n.03 line.n.11: no seat.n.05 line.n.11; some seat.n.05 line.n.11
all establishment.n.04 structure.n.01, no structure.n.01 excavation.n.03: no establishment.n.04 excavation.n.03; some establishment.n.04 excavation.n.03
all physical_condition.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no physical_condition.n.01 relation.n.01; some physical_condition.n.01 relation.n.01
all housing.n.01 whole.n.02, no whole.n.02 shiner.n.02: no housing.n.01 shiner.n.02; some housing.n.01 shiner.n.02
all oxide.n.01 compound.n.02, no compound.n.02 fraction.n.01: no oxide.n.01 fraction.n.01; some oxide.n.01 fraction.n.01
all medicine.n.02 agent.n.03, no agent.n.03 substance.n.04: no medicine.n.02 substance.n.04; some medicine.n.02 substance.n.04
all atmospheric_phenomenon.n.01 process.n.06, no process.n.06 substance.n.04: no atmospheric_phenomenon.n.01 substance.n.04; some atmospheric_phenomenon.n.01 substance.n.04
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all marshal.n.02 worker.n.01, no worker.n.01 sensualist.n.01: no marshal.n.02 sensualist.n.01; some marshal.n.02 sensualist.n.01
all lender.n.01 investor.n.01, no investor.n.01 profiteer.n.01: no lender.n.01 profiteer.n.01; some lender.n.01 profiteer.n.01
all mechanism.n.05 object.n.01, no object.n.01 causal_agent.n.01: no mechanism.n.05 causal_agent.n.01; some mechanism.n.05 causal_agent.n.01
all spear.n.01 whole.n.02, no whole.n.02 web.n.01: no spear.n.01 web.n.01; some spear.n.01 web.n.01
all support.n.10 object.n.01, no object.n.01 substance.n.04: no support.n.10 substance.n.04; some support.n.10 substance.n.04
all document.n.03 communication.n.02, no communication.n.02 otherworld.n.01: no document.n.03 otherworld.n.01; some document.n.03 otherworld.n.01
all radiography.n.02 activity.n.01, no activity.n.01 discovery.n.01: no radiography.n.02 discovery.n.01; some radiography.n.02 discovery.n.01
all instrumentality.n.03 artifact.n.01, no artifact.n.01 sum.n.05: no instrumentality.n.03 sum.n.05; some instrumentality.n.03 sum.n.05
all truck.n.01 whole.n.02, no whole.n.02 floater.n.07: no truck.n.01 floater.n.07; some truck.n.01 floater.n.07
all bolshevik.n.02 politician.n.02, no politician.n.02 father.n.05: no bolshevik.n.02 father.n.05; some bolshevik.n.02 father.n.05
all natural_process.n.01 process.n.06, no process.n.06 substance.n.04: no natural_process.n.01 substance.n.04; some natural_process.n.01 substance.n.04
all peddler.n.01 businessperson.n.01, no businessperson.n.01 materialist.n.01: no peddler.n.01 materialist.n.01; some peddler.n.01 materialist.n.01
all art.n.01 whole.n.02, no whole.n.02 discard.n.01: no art.n.01 discard.n.01; some art.n.01 discard.n.01
all protective_covering.n.01 object.n.01, no object.n.01 substance.n.04: no protective_covering.n.01 substance.n.04; some protective_covering.n.01 substance.n.04
all arrangement.n.02 group.n.01, no group.n.01 otherworld.n.01: no arrangement.n.02 otherworld.n.01; some arrangement.n.02 otherworld.n.01
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all hydroxide.n.01 chemical.n.01, no chemical.n.01 conductor.n.02: no hydroxide.n.01 conductor.n.02; some hydroxide.n.01 conductor.n.02
all chemical_reaction.n.01 process.n.06, no process.n.06 causal_agent.n.01: no chemical_reaction.n.01 causal_agent.n.01; some chemical_reaction.n.01 causal_agent.n.01
all anomaly.n.01 abnormality.n.01, no abnormality.n.01 pathological_state.n.01: no anomaly.n.01 pathological_state.n.01; some anomaly.n.01 pathological_state.n.01
all blues.n.01 communication.n.02, no communication.n.02 relation.n.01: no blues.n.01 relation.n.01; some blues.n.01 relation.n.01
all spiritual_leader.n.01 leader.n.01, no leader.n.01 anomaly.n.02: no spiritual_leader.n.01 anomaly.n.02; some spiritual_leader.n.01 anomaly.n.02
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all defensive_structure.n.01 whole.n.02, no whole.n.02 geological_formation.n.01: no defensive_structure.n.01 geological_formation.n.01; some defensive_structure.n.01 geological_formation.n.01
all institution.n.01 group.n.01, no group.n.01 psychological_feature.n.01: no institution.n.01 psychological_feature.n.01; some institution.n.01 psychological_feature.n.01
all substance.n.07 matter.n.03, no matter.n.03 causal_agent.n.01: no substance.n.07 causal_agent.n.01; some substance.n.07 causal_agent.n.01
all laborer.n.01 worker.n.01, no worker.n.01 traveler.n.01: no laborer.n.01 traveler.n.01; some laborer.n.01 traveler.n.01
all warplane.n.01 vehicle.n.01, no vehicle.n.01 litter.n.03: no warplane.n.01 litter.n.03; some warplane.n.01 litter.n.03
all auditory_communication.n.01 communication.n.02, no communication.n.02 psychological_feature.n.01: no auditory_communication.n.01 psychological_feature.n.01; some auditory_communication.n.01 psychological_feature.n.01
all device.n.01 artifact.n.01, no artifact.n.01 natural_object.n.01: no device.n.01 natural_object.n.01; some device.n.01 natural_object.n.01
all custodian.n.01 preserver.n.03, no preserver.n.03 pisser.n.01: no custodian.n.01 pisser.n.01; some custodian.n.01 pisser.n.01
all request.n.02 act.n.02, no act.n.02 miracle.n.02: no request.n.02 miracle.n.02; some request.n.02 miracle.n.02
all collection.n.01 group.n.01, no group.n.01 otherworld.n.01: no collection.n.01 otherworld.n.01; some collection.n.01 otherworld.n.01
all condition.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no condition.n.01 otherworld.n.01; some condition.n.01 otherworld.n.01
all design.n.04 decoration.n.01, no decoration.n.01 paving.n.01: no design.n.04 paving.n.01; some design.n.04 paving.n.01
all living_thing.n.01 object.n.01, no object.n.01 substance.n.04: no living_thing.n.01 substance.n.04; some living_thing.n.01 substance.n.04
all implement.n.01 whole.n.02, no whole.n.02 fomite.n.01: no implement.n.01 fomite.n.01; some implement.n.01 fomite.n.01
all adhesive_material.n.01 material.n.01, no material.n.01 volatile.n.01: no adhesive_material.n.01 volatile.n.01; some adhesive_material.n.01 volatile.n.01
all aldehyde.n.01 chemical.n.01, no chemical.n.01 sorbent.n.01: no aldehyde.n.01 sorbent.n.01; some aldehyde.n.01 sorbent.n.01
all blind.n.03 whole.n.02, no whole.n.02 ribbon.n.01: no blind.n.03 ribbon.n.01; some blind.n.03 ribbon.n.01
all sequence.n.01 series.n.01, no series.n.01 genetic_code.n.01: no sequence.n.01 genetic_code.n.01; some sequence.n.01 genetic_code.n.01
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all longing.n.01 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no longing.n.01 psychological_feature.n.01; some longing.n.01 psychological_feature.n.01
all disgust.n.01 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no disgust.n.01 psychological_feature.n.01; some disgust.n.01 psychological_feature.n.01
all manner.n.01 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no manner.n.01 psychological_feature.n.01; some manner.n.01 psychological_feature.n.01
all manufacturer.n.02 creator.n.02, no creator.n.02 showman.n.01: no manufacturer.n.02 showman.n.01; some manufacturer.n.02 showman.n.01
all membrane.n.02 tissue.n.01, no tissue.n.01 toe.n.03: no membrane.n.02 toe.n.03; some membrane.n.02 toe.n.03
all antihypertensive.n.01 medicine.n.02, no medicine.n.02 diuretic_drug.n.01: no antihypertensive.n.01 diuretic_drug.n.01; some antihypertensive.n.01 diuretic_drug.n.01
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all fabric.n.01 artifact.n.01, no artifact.n.01 sum.n.05: no fabric.n.01 sum.n.05; some fabric.n.01 sum.n.05
all socialist.n.01 politician.n.02, no politician.n.02 spearhead.n.01: no socialist.n.01 spearhead.n.01; some socialist.n.01 spearhead.n.01
all medical_practitioner.n.01 adult.n.01, no adult.n.01 capitalist.n.02: no medical_practitioner.n.01 capitalist.n.02; some medical_practitioner.n.01 capitalist.n.02
all message.n.02 communication.n.02, no communication.n.02 relation.n.01: no message.n.02 relation.n.01; some message.n.02 relation.n.01
all good.n.02 attribute.n.02, no attribute.n.02 otherworld.n.01: no good.n.02 otherworld.n.01; some good.n.02 otherworld.n.01
all architect.n.01 creator.n.02, no creator.n.02 public_relations_person.n.01: no architect.n.01 public_relations_person.n.01; some architect.n.01 public_relations_person.n.01
all aristocrat.n.01 leader.n.01, no leader.n.01 sniffler.n.01: no aristocrat.n.01 sniffler.n.01; some aristocrat.n.01 sniffler.n.01
all bandmaster.n.01 artist.n.01, no artist.n.01 builder.n.02: no bandmaster.n.01 builder.n.02; some bandmaster.n.01 builder.n.02
all charity.n.03 act.n.02, no act.n.02 happening.n.01: no charity.n.03 happening.n.01; some charity.n.03 happening.n.01
all structure.n.01 artifact.n.01, no artifact.n.01 living_thing.n.01: no structure.n.01 living_thing.n.01; some structure.n.01 living_thing.n.01
all curve.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no curve.n.01 otherworld.n.01; some curve.n.01 otherworld.n.01
all supporter.n.01 advocate.n.01, no advocate.n.01 waker.n.02: no supporter.n.01 waker.n.02; some supporter.n.01 waker.n.02
all residence.n.02 object.n.01, no object.n.01 causal_agent.n.01: no residence.n.02 causal_agent.n.01; some residence.n.02 causal_agent.n.01
all work.n.01 act.n.02, no act.n.02 zap.n.01: no work.n.01 zap.n.01; some work.n.01 zap.n.01
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all cylinder.n.01 solid.n.03, no solid.n.03 column.n.04: no cylinder.n.01 column.n.04; some cylinder.n.01 column.n.04
all signboard.n.01 whole.n.02, no whole.n.02 shiner.n.02: no signboard.n.01 shiner.n.02; some signboard.n.01 shiner.n.02
all plastic.n.01 matter.n.03, no matter.n.03 causal_agent.n.01: no plastic.n.01 causal_agent.n.01; some plastic.n.01 causal_agent.n.01
all covering.n.02 object.n.01, no object.n.01 causal_agent.n.01: no covering.n.02 causal_agent.n.01; some covering.n.02 causal_agent.n.01
all composition.n.09 artifact.n.01, no artifact.n.01 living_thing.n.01: no composition.n.09 living_thing.n.01; some composition.n.09 living_thing.n.01
all action.n.01 act.n.02, no act.n.02 might-have-been.n.01: no action.n.01 might-have-been.n.01; some action.n.01 might-have-been.n.01
all applicator.n.01 artifact.n.01, no artifact.n.01 item.n.03: no applicator.n.01 item.n.03; some applicator.n.01 item.n.03
all emotion.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no emotion.n.01 relation.n.01; some emotion.n.01 relation.n.01
all center.n.01 object.n.01, no object.n.01 causal_agent.n.01: no center.n.01 causal_agent.n.01; some center.n.01 causal_agent.n.01
all respondent.n.02 communicator.n.01, no communicator.n.01 partner.n.03: no respondent.n.02 partner.n.03; some respondent.n.02 partner.n.03
