some group.n.01 egyptian.n.01, all egyptian.n.01 african.n.01: some group.n.01 african.n.01; no group.n.01 african.n.01
some covering.n.01 tissue.n.01, all tissue.n.01 body_part.n.01: some covering.n.01 body_part.n.01; no covering.n.01 body_part.n.01
some journalist.n.01 critic.n.01, all critic.n.01 professional.n.01: some journalist.n.01 professional.n.01; no journalist.n.01 professional.n.01
some corticosteroid.n.01 antihypertensive.n.01, all antihypertensive.n.01 medicine.n.02: some corticosteroid.n.01 medicine.n.02; no corticosteroid.n.01 medicine.n.02
some actor.n.01 dancer.n.01, all dancer.n.01 performer.n.01: some actor.n.01 performer.n.01; no actor.n.01 performer.n.01
some immunodeficiency.n.01 disease.n.01, all disease.n.01 illness.n.01: some immunodeficiency.n.01 illness.n.01; no immunodeficiency.n.01 illness.n.01
some ceremony.n.03 beginning.n.05, all beginning.n.05 change_of_state.n.01: some ceremony.n.03 change_of_state.n.01; no ceremony.n.03 change_of_state.n.01
some point.n.02 municipality.n.01, all municipality.n.01 urban_area.n.01: some point.n.02 urban_area.n.01; no point.n.02 urban_area.n.01
some dish.n.02 dessert.n.01, all dessert.n.01 course.n.07: some dish.n.02 course.n.07; no dish.n.02 course.n.07
some critic.n.01 composer.n.01, all composer.n.01 musician.n.02: some critic.n.01 musician.n.02; no critic.n.01 musician.n.02
some abolitionist.n.01 clergyman.n.01, all clergyman.n.01 spiritual_leader.n.01: some abolitionist.n.01 spiritual_leader.n.01; no abolitionist.n.01 spiritual_leader.n.01
some substance.n.01 halogen.n.01, all halogen.n.01 group.n.01: some substance.n.01 group.n.01; no substance.n.01 group.n.01
some car.n.01 van.n.05, all van.n.05 truck.n.01: some car.n.01 truck.n.01; no car.n.01 truck.n.01
some head.n.04 man.n.01, all man.n.01 male.n.02: some head.n.04 male.n.02; no head.n.04 male.n.02
some family.n.06 order.n.12, all order.n.12 taxonomic_group.n.01: some family.n.06 taxonomic_group.n.01; no family.n.06 taxonomic_group.n.01
some whole.n.02 tissue.n.01, all tissue.n.01 body_part.n.01: some whole.n.02 body_part.n.01; no whole.n.02 body_part.n.01
some series.n.01 devotion.n.04, all devotion.n.04 prayer.n.01: some series.n.01 prayer.n.01; no series.n.01 prayer.n.01
some building.n.01 establishment.n.04, all establishment.n.04 structure.n.01: some building.n.01 structure.n.01; no building.n.01 structure.n.01
some woman.n.01 soldier.n.01, all soldier.n.01 enlisted_person.n.01: some woman.n.01 enlisted_person.n.01; no woman.n.01 enlisted_person.n.01
some number.n.02 rate.n.01, all rate.n.01 magnitude_relation.n.01: some number.n.02 magnitude_relation.n.01; no number.n.02 magnitude_relation.n.01
some lawyer.n.01 representative.n.01, all representative.n.01 negotiator.n.01: some lawyer.n.01 negotiator.n.01; no lawyer.n.01 negotiator.n.01
some singer.n.01 songwriter.n.01, all songwriter.n.01 composer.n.01: some singer.n.01 composer.n.01; no singer.n.01 composer.n.01
some actor.n.01 crooner.n.01, all crooner.n.01 singer.n.01: some actor.n.01 singer.n.01; no actor.n.01 singer.n.01
some material.n.01 bark.n.01, all bark.n.01 covering.n.01: some material.n.01 covering.n.01; no material.n.01 covering.n.01
some genus.n.02 family.n.06, all family.n.06 taxonomic_group.n.01: some genus.n.02 taxonomic_group.n.01; no genus.n.02 taxonomic_group.n.01
some masochism.n.01 sadism.n.01, all sadism.n.01 sexual_pleasure.n.01: some masochism.n.01 sexual_pleasure.n.01; no masochism.n.01 sexual_pleasure.n.01
some phenomenon.n.01 discharge.n.01, all discharge.n.01 happening.n.01: some phenomenon.n.01 happening.n.01; no phenomenon.n.01 happening.n.01
some equipment.n.01 disk.n.02, all disk.n.02 circle.n.08: some equipment.n.01 circle.n.08; no equipment.n.01 circle.n.08
some group.n.01 terror.n.04, all terror.n.04 coercion.n.01: some group.n.01 coercion.n.01; no group.n.01 coercion.n.01
some group.n.01 nigerian.n.01, all nigerian.n.01 african.n.01: some group.n.01 african.n.01; no group.n.01 african.n.01
some writer.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some writer.n.01 scholar.n.01; no writer.n.01 scholar.n.01
some adjective.n.01 adverb.n.02, all adverb.n.02 modifier.n.01: some adjective.n.01 modifier.n.01; no adjective.n.01 modifier.n.01
some female.n.02 male.n.02, all male.n.02 person.n.01: some female.n.02 person.n.01; no female.n.02 person.n.01
some saint.n.01 archbishop.n.01, all archbishop.n.01 bishop.n.01: some saint.n.01 bishop.n.01; no saint.n.01 bishop.n.01
some biome.n.01 tract.n.01, all tract.n.01 geographical_area.n.01: some biome.n.01 geographical_area.n.01; no biome.n.01 geographical_area.n.01
some fascism.n.01 socialism.n.02, all socialism.n.02 managed_economy.n.01: some fascism.n.01 managed_economy.n.01; no fascism.n.01 managed_economy.n.01
some actress.n.01 comedienne.n.02, all comedienne.n.02 comedian.n.01: some actress.n.01 comedian.n.01; no actress.n.01 comedian.n.01
some financier.n.01 philanthropist.n.01, all philanthropist.n.01 donor.n.01: some financier.n.01 donor.n.01; no financier.n.01 donor.n.01
some wrongdoer.n.01 investor.n.01, all investor.n.01 capitalist.n.02: some wrongdoer.n.01 capitalist.n.02; no wrongdoer.n.01 capitalist.n.02
some condition.n.01 happiness.n.01, all happiness.n.01 emotional_state.n.01: some condition.n.01 emotional_state.n.01; no condition.n.01 emotional_state.n.01
some mineral.n.01 gem.n.02, all gem.n.02 crystal.n.01: some mineral.n.01 crystal.n.01; no mineral.n.01 crystal.n.01
some nonfiction.n.01 piece.n.06, all piece.n.06 creation.n.02: some nonfiction.n.01 creation.n.02; no nonfiction.n.01 creation.n.02
some killer.n.01 criminal.n.01, all criminal.n.01 principal.n.05: some killer.n.01 principal.n.05; no killer.n.01 principal.n.05
some psychologist.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some psychologist.n.01 scholar.n.01; no psychologist.n.01 scholar.n.01
some singer.n.01 drummer.n.01, all drummer.n.01 percussionist.n.01: some singer.n.01 percussionist.n.01; no singer.n.01 percussionist.n.01
some strip.n.05 pick.n.06, all pick.n.06 hand_tool.n.01: some strip.n.05 hand_tool.n.01; no strip.n.05 hand_tool.n.01
some dramatist.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some dramatist.n.01 politician.n.02; no dramatist.n.01 politician.n.02
some worship.n.01 pillar.n.01, all pillar.n.01 principle.n.01: some worship.n.01 principle.n.01; no worship.n.01 principle.n.01
some tissue.n.01 symptom.n.01, all symptom.n.01 evidence.n.01: some tissue.n.01 evidence.n.01; no tissue.n.01 evidence.n.01
some alga.n.01 phytoplankton.n.01, all phytoplankton.n.01 plant.n.02: some alga.n.01 plant.n.02; no alga.n.01 plant.n.02
some agent.n.03 gonadotropin.n.01, all gonadotropin.n.01 hormone.n.01: some agent.n.03 hormone.n.01; no agent.n.03 hormone.n.01
some substance.n.01 food.n.01, all food.n.01 substance.n.07: some substance.n.01 substance.n.07; no substance.n.01 substance.n.07
some adjudicator.n.01 official.n.01, all official.n.01 skilled_worker.n.01: some adjudicator.n.01 skilled_worker.n.01; no adjudicator.n.01 skilled_worker.n.01
some financier.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some financier.n.01 politician.n.02; no financier.n.01 politician.n.02
some cube.n.05 card.n.01, all card.n.01 paper.n.01: some cube.n.05 paper.n.01; no cube.n.05 paper.n.01
some captor.n.01 criminal.n.01, all criminal.n.01 principal.n.05: some captor.n.01 principal.n.05; no captor.n.01 principal.n.05
some part.n.02 artifact.n.01, all artifact.n.01 whole.n.02: some part.n.02 whole.n.02; no part.n.02 whole.n.02
some oscillation.n.01 variation.n.08, all variation.n.08 perturbation.n.02: some oscillation.n.01 perturbation.n.02; no oscillation.n.01 perturbation.n.02
some medicine.n.02 glucocorticoid.n.01, all glucocorticoid.n.01 corticosteroid.n.01: some medicine.n.02 corticosteroid.n.01; no medicine.n.02 corticosteroid.n.01
some agent.n.01 hormone.n.01, all hormone.n.01 secretion.n.02: some agent.n.01 secretion.n.02; no agent.n.01 secretion.n.02
some plate.n.02 circle.n.08, all circle.n.08 rotating_mechanism.n.01: some plate.n.02 rotating_mechanism.n.01; no plate.n.02 rotating_mechanism.n.01
some mineral.n.01 salt.n.01, all salt.n.01 compound.n.02: some mineral.n.01 compound.n.02; no mineral.n.01 compound.n.02
some condition.n.01 symptom.n.01, all symptom.n.01 evidence.n.01: some condition.n.01 evidence.n.01; no condition.n.01 evidence.n.01
some revolutionist.n.01 communist.n.02, all communist.n.02 socialist.n.01: some revolutionist.n.01 socialist.n.01; no revolutionist.n.01 socialist.n.01
some headdress.n.01 regalia.n.01, all regalia.n.01 gear.n.04: some headdress.n.01 gear.n.04; no headdress.n.01 gear.n.04
some follower.n.02 spy.n.02, all spy.n.02 spectator.n.01: some follower.n.02 spectator.n.01; no follower.n.02 spectator.n.01
some solvent.n.01 ketone.n.01, all ketone.n.01 organic_compound.n.01: some solvent.n.01 organic_compound.n.01; no solvent.n.01 organic_compound.n.01
some equipment.n.01 peg.n.01, all peg.n.01 pin.n.09: some equipment.n.01 pin.n.09; no equipment.n.01 pin.n.09
some pup.n.01 dog.n.01, all dog.n.01 domestic_animal.n.01: some pup.n.01 domestic_animal.n.01; no pup.n.01 domestic_animal.n.01
some broadcaster.n.01 journalist.n.01, all journalist.n.01 writer.n.01: some broadcaster.n.01 writer.n.01; no broadcaster.n.01 writer.n.01
some thrower.n.02 ballplayer.n.01, all ballplayer.n.01 player.n.01: some thrower.n.02 player.n.01; no thrower.n.02 player.n.01
some maestro.n.01 painter.n.01, all painter.n.01 artist.n.01: some maestro.n.01 artist.n.01; no maestro.n.01 artist.n.01
some stadium.n.01 box.n.02, all box.n.02 compartment.n.02: some stadium.n.01 compartment.n.02; no stadium.n.01 compartment.n.02
some annoyance.n.02 dissatisfaction.n.01, all dissatisfaction.n.01 discontentment.n.01: some annoyance.n.02 discontentment.n.01; no annoyance.n.02 discontentment.n.01
some food.n.02 starches.n.01, all starches.n.01 foodstuff.n.02: some food.n.02 foodstuff.n.02; no food.n.02 foodstuff.n.02
some container.n.01 vehicle.n.01, all vehicle.n.01 conveyance.n.03: some container.n.01 conveyance.n.03; no container.n.01 conveyance.n.03
some ruler.n.01 representative.n.01, all representative.n.01 negotiator.n.01: some ruler.n.01 negotiator.n.01; no ruler.n.01 negotiator.n.01
some programmer.n.01 terrorist.n.01, all terrorist.n.01 radical.n.03: some programmer.n.01 radical.n.03; no programmer.n.01 radical.n.03
some musician.n.01 composer.n.01, all composer.n.01 musician.n.02: some musician.n.01 musician.n.02; no musician.n.01 musician.n.02
some poet.n.01 courtier.n.01, all courtier.n.01 attendant.n.01: some poet.n.01 attendant.n.01; no poet.n.01 attendant.n.01
some make.v.03 join.v.02, all join.v.02 connect.v.01: some make.v.03 connect.v.01; no make.v.03 connect.v.01
some destruction.n.01 mischief.n.01, all mischief.n.01 misbehavior.n.01: some destruction.n.01 misbehavior.n.01; no destruction.n.01 misbehavior.n.01
some show.n.03 product.n.02, all product.n.02 creation.n.02: some show.n.03 creation.n.02; no show.n.03 creation.n.02
some nude.n.03 exhibitionist.n.01, all exhibitionist.n.01 compulsive.n.01: some nude.n.03 compulsive.n.01; no nude.n.03 compulsive.n.01
some assets.n.01 evidence.n.02, all evidence.n.02 indication.n.01: some assets.n.01 indication.n.01; no assets.n.01 indication.n.01
some movement.n.04 school.n.04, all school.n.04 body.n.02: some movement.n.04 body.n.02; no movement.n.04 body.n.02
some male.n.02 child.n.02, all child.n.02 offspring.n.01: some male.n.02 offspring.n.01; no male.n.02 offspring.n.01
some antiquity.n.03 building.n.01, all building.n.01 structure.n.01: some antiquity.n.03 structure.n.01; no antiquity.n.03 structure.n.01
some economist.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some economist.n.01 scholar.n.01; no economist.n.01 scholar.n.01
some muslim.n.01 doctor.n.01, all doctor.n.01 medical_practitioner.n.01: some muslim.n.01 medical_practitioner.n.01; no muslim.n.01 medical_practitioner.n.01
some antibody.n.01 globulin.n.01, all globulin.n.01 simple_protein.n.01: some antibody.n.01 simple_protein.n.01; no antibody.n.01 simple_protein.n.01
some adventurer.n.01 gambler.n.01, all gambler.n.01 person.n.01: some adventurer.n.01 person.n.01; no adventurer.n.01 person.n.01
some deceiver.n.01 doctor.n.01, all doctor.n.01 medical_practitioner.n.01: some deceiver.n.01 medical_practitioner.n.01; no deceiver.n.01 medical_practitioner.n.01
some explorer.n.01 journalist.n.01, all journalist.n.01 writer.n.01: some explorer.n.01 writer.n.01; no explorer.n.01 writer.n.01
some crewman.n.02 officer.n.04, all officer.n.04 mariner.n.01: some crewman.n.02 mariner.n.01; no crewman.n.02 mariner.n.01
some beverage.n.01 drug.n.01, all drug.n.01 agent.n.03: some beverage.n.01 agent.n.03; no beverage.n.01 agent.n.03
some identification.n.02 secret.n.02, all secret.n.02 information.n.01: some identification.n.02 information.n.01; no identification.n.02 information.n.01
some vegetable.n.01 starches.n.01, all starches.n.01 foodstuff.n.02: some vegetable.n.01 foodstuff.n.02; no vegetable.n.01 foodstuff.n.02
some gas.n.02 weapon.n.01, all weapon.n.01 instrument.n.01: some gas.n.02 instrument.n.01; no gas.n.02 instrument.n.01
some leader.n.01 iroquois.n.01, all iroquois.n.01 indian.n.01: some leader.n.01 indian.n.01; no leader.n.01 indian.n.01
some explorer.n.01 serviceman.n.01, all serviceman.n.01 skilled_worker.n.01: some explorer.n.01 skilled_worker.n.01; no explorer.n.01 skilled_worker.n.01
some humorist.n.01 writer.n.01, all writer.n.01 communicator.n.01: some humorist.n.01 communicator.n.01; no humorist.n.01 communicator.n.01
some inventor.n.01 mathematician.n.01, all mathematician.n.01 scientist.n.01: some inventor.n.01 scientist.n.01; no inventor.n.01 scientist.n.01
some authority.n.02 politician.n.01, all politician.n.01 leader.n.01: some authority.n.02 leader.n.01; no authority.n.02 leader.n.01
some inventor.n.01 metallurgist.n.01, all metallurgist.n.01 engineer.n.01: some inventor.n.01 engineer.n.01; no inventor.n.01 engineer.n.01
some berry.n.01 drupe.n.01, all drupe.n.01 fruit.n.01: some berry.n.01 fruit.n.01; no berry.n.01 fruit.n.01
some scientist.n.01 doctor.n.01, all doctor.n.01 medical_practitioner.n.01: some scientist.n.01 medical_practitioner.n.01; no scientist.n.01 medical_practitioner.n.01
some peripheral.n.01 printer.n.03, all printer.n.03 machine.n.01: some peripheral.n.01 machine.n.01; no peripheral.n.01 machine.n.01
some evangelist.n.02 saint.n.01, all saint.n.01 deity.n.01: some evangelist.n.02 deity.n.01; no evangelist.n.02 deity.n.01
some object.n.01 sediment.n.01, all sediment.n.01 matter.n.03: some object.n.01 matter.n.03; no object.n.01 matter.n.03
some export.v.01 import.v.01, all import.v.01 trade.v.01: some export.v.01 trade.v.01; no export.v.01 trade.v.01
some remark.n.01 truism.n.01, all truism.n.01 truth.n.03: some remark.n.01 truth.n.03; no remark.n.01 truth.n.03
some writ.n.01 prohibition.n.02, all prohibition.n.02 decree.n.01: some writ.n.01 decree.n.01; no writ.n.01 decree.n.01
some colonizer.n.01 courtier.n.01, all courtier.n.01 attendant.n.01: some colonizer.n.01 attendant.n.01; no colonizer.n.01 attendant.n.01
some tissue.n.01 passage.n.07, all passage.n.07 structure.n.04: some tissue.n.01 structure.n.04; no tissue.n.01 structure.n.04
some deceiver.n.01 thief.n.01, all thief.n.01 criminal.n.01: some deceiver.n.01 criminal.n.01; no deceiver.n.01 criminal.n.01
some alcohol.n.02 steroid.n.01, all steroid.n.01 organic_compound.n.01: some alcohol.n.02 organic_compound.n.01; no alcohol.n.02 organic_compound.n.01
some gas.n.02 compound.n.02, all compound.n.02 chemical.n.01: some gas.n.02 chemical.n.01; no gas.n.02 chemical.n.01
some aluminum.n.01 salt.n.01, all salt.n.01 compound.n.02: some aluminum.n.01 compound.n.02; no aluminum.n.01 compound.n.02
some ridge.n.01 barrier.n.03, all barrier.n.03 mechanism.n.03: some ridge.n.01 mechanism.n.03; no ridge.n.01 mechanism.n.03
some compound.n.02 anesthetic.n.01, all anesthetic.n.01 drug.n.01: some compound.n.02 drug.n.01; no compound.n.02 drug.n.01
some bite.n.08 clip.n.05, all clip.n.05 cut.n.18: some bite.n.08 cut.n.18; no bite.n.08 cut.n.18
some mineral.n.01 compound.n.02, all compound.n.02 chemical.n.01: some mineral.n.01 chemical.n.01; no mineral.n.01 chemical.n.01
some economist.n.01 logician.n.01, all logician.n.01 expert.n.01: some economist.n.01 expert.n.01; no economist.n.01 expert.n.01
some jazz.n.02 singing.n.01, all singing.n.01 vocal_music.n.02: some jazz.n.02 vocal_music.n.02; no jazz.n.02 vocal_music.n.02
some jelly.n.03 mixture.n.01, all mixture.n.01 substance.n.01: some jelly.n.03 substance.n.01; no jelly.n.03 substance.n.01
some educator.n.01 theologian.n.01, all theologian.n.01 scholar.n.01: some educator.n.01 scholar.n.01; no educator.n.01 scholar.n.01
some employee.n.01 holder.n.02, all holder.n.02 owner.n.02: some employee.n.01 owner.n.02; no employee.n.01 owner.n.02
some emblem.n.02 design.n.04, all design.n.04 decoration.n.01: some emblem.n.02 decoration.n.01; no emblem.n.02 decoration.n.01
some city.n.01 capital.n.03, all capital.n.03 seat.n.05: some city.n.01 seat.n.05; no city.n.01 seat.n.05
some male.n.02 schoolchild.n.01, all schoolchild.n.01 young_person.n.01: some male.n.02 young_person.n.01; no male.n.02 young_person.n.01
some engineer.n.01 painter.n.01, all painter.n.01 artist.n.01: some engineer.n.01 artist.n.01; no engineer.n.01 artist.n.01
some drupe.n.01 produce.n.01, all produce.n.01 food.n.02: some drupe.n.01 food.n.02; no drupe.n.01 food.n.02
some document.n.01 book.n.10, all book.n.10 section.n.01: some document.n.01 section.n.01; no document.n.01 section.n.01
some fluid.n.02 chemical.n.01, all chemical.n.01 material.n.01: some fluid.n.02 material.n.01; no fluid.n.02 material.n.01
some motto.n.01 phrase.n.01, all phrase.n.01 construction.n.02: some motto.n.01 construction.n.02; no motto.n.01 construction.n.02
some crime.n.01 falsification.n.03, all falsification.n.03 dishonesty.n.02: some crime.n.01 dishonesty.n.02; no crime.n.01 dishonesty.n.02
some mathematician.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some mathematician.n.01 scholar.n.01; no mathematician.n.01 scholar.n.01
some ceremony.n.01 fete.n.01, all fete.n.01 party.n.04: some ceremony.n.01 party.n.04; no ceremony.n.01 party.n.04
some pathology.n.02 illness.n.01, all illness.n.01 ill_health.n.01: some pathology.n.02 ill_health.n.01; no pathology.n.02 ill_health.n.01
some clarinetist.n.01 bandleader.n.01, all bandleader.n.01 conductor.n.01: some clarinetist.n.01 conductor.n.01; no clarinetist.n.01 conductor.n.01
some lover.n.03 woman.n.01, all woman.n.01 adult.n.01: some lover.n.03 adult.n.01; no lover.n.03 adult.n.01
some discretion.n.05 virtue.n.04, all virtue.n.04 good.n.02: some discretion.n.05 good.n.02; no discretion.n.05 good.n.02
some south.n.01 state.n.01, all state.n.01 administrative_district.n.01: some south.n.01 administrative_district.n.01; no south.n.01 administrative_district.n.01
some plate.n.02 brace.n.09, all brace.n.09 strengthener.n.01: some plate.n.02 strengthener.n.01; no plate.n.02 strengthener.n.01
some saint.n.01 martyr.n.02, all martyr.n.02 victim.n.01: some saint.n.01 victim.n.01; no saint.n.01 victim.n.01
some acknowledgment.n.03 refusal.n.02, all refusal.n.02 message.n.02: some acknowledgment.n.03 message.n.02; no acknowledgment.n.03 message.n.02
some clergyman.n.01 settler.n.01, all settler.n.01 migrant.n.01: some clergyman.n.01 migrant.n.01; no clergyman.n.01 migrant.n.01
some inventor.n.01 industrialist.n.01, all industrialist.n.01 businessman.n.01: some inventor.n.01 businessman.n.01; no inventor.n.01 businessman.n.01
some pen.n.01 trademark.n.02, all trademark.n.02 marker.n.02: some pen.n.01 marker.n.02; no pen.n.01 marker.n.02
some extremity.n.05 digit.n.03, all digit.n.03 extremity.n.01: some extremity.n.05 extremity.n.01; no extremity.n.05 extremity.n.01
some change.v.01 construct.v.01, all construct.v.01 make.v.03: some change.v.01 make.v.03; no change.v.01 make.v.03
some equipment.n.01 device.n.01, all device.n.01 instrumentality.n.03: some equipment.n.01 instrumentality.n.03; no equipment.n.01 instrumentality.n.03
some writer.n.01 philologist.n.01, all philologist.n.01 humanist.n.01: some writer.n.01 humanist.n.01; no writer.n.01 humanist.n.01
some lover.n.03 male.n.02, all male.n.02 person.n.01: some lover.n.03 person.n.01; no lover.n.03 person.n.01
some expression.n.01 vitality.n.01, all vitality.n.01 energy.n.04: some expression.n.01 energy.n.04; no expression.n.01 energy.n.04
some educator.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some educator.n.01 scholar.n.01; no educator.n.01 scholar.n.01
some producer.n.02 screenwriter.n.01, all screenwriter.n.01 scriptwriter.n.01: some producer.n.02 scriptwriter.n.01; no producer.n.02 scriptwriter.n.01
some feminist.n.01 suffragist.n.01, all suffragist.n.01 advocate.n.01: some feminist.n.01 advocate.n.01; no feminist.n.01 advocate.n.01
some document.n.01 testimony.n.01, all testimony.n.01 evidence.n.03: some document.n.01 evidence.n.03; no document.n.01 evidence.n.03
some siege.n.01 campaign.n.03, all campaign.n.03 operation.n.05: some siege.n.01 operation.n.05; no siege.n.01 operation.n.05
some music.n.01 writing.n.02, all writing.n.02 written_communication.n.01: some music.n.01 written_communication.n.01; no music.n.01 written_communication.n.01
some headman.n.02 wampanoag.n.01, all wampanoag.n.01 algonquian.n.01: some headman.n.02 algonquian.n.01; no headman.n.02 algonquian.n.01
some mathematician.n.01 physicist.n.01, all physicist.n.01 scientist.n.01: some mathematician.n.01 scientist.n.01; no mathematician.n.01 scientist.n.01
some dictator.n.02 general.n.01, all general.n.01 general_officer.n.01: some dictator.n.02 general_officer.n.01; no dictator.n.02 general_officer.n.01
some editor.n.01 psychologist.n.01, all psychologist.n.01 scientist.n.01: some editor.n.01 scientist.n.01; no editor.n.01 scientist.n.01
some anthropologist.n.01 paleontologist.n.01, all paleontologist.n.01 scientist.n.01: some anthropologist.n.01 scientist.n.01; no anthropologist.n.01 scientist.n.01
some puncture.n.03 procedure.n.01, all procedure.n.01 activity.n.01: some puncture.n.03 activity.n.01; no puncture.n.03 activity.n.01
some feminist.n.01 writer.n.01, all writer.n.01 communicator.n.01: some feminist.n.01 communicator.n.01; no feminist.n.01 communicator.n.01
some politician.n.02 suffragist.n.01, all suffragist.n.01 advocate.n.01: some politician.n.02 advocate.n.01; no politician.n.02 advocate.n.01
some piece.n.01 fabric.n.01, all fabric.n.01 artifact.n.01: some piece.n.01 artifact.n.01; no piece.n.01 artifact.n.01
some condition.n.01 occlusion.n.01, all occlusion.n.01 attack.n.07: some condition.n.01 attack.n.07; no condition.n.01 attack.n.07
some librettist.n.01 poet.n.01, all poet.n.01 writer.n.01: some librettist.n.01 writer.n.01; no librettist.n.01 writer.n.01
some contestant.n.01 deceiver.n.01, all deceiver.n.01 wrongdoer.n.01: some contestant.n.01 wrongdoer.n.01; no contestant.n.01 wrongdoer.n.01
some businessman.n.01 philanthropist.n.01, all philanthropist.n.01 donor.n.01: some businessman.n.01 donor.n.01; no businessman.n.01 donor.n.01
some fall.v.17 sin.v.01, all sin.v.01 transgress.v.01: some fall.v.17 transgress.v.01; no fall.v.17 transgress.v.01
some get.v.01 victimize.v.01, all victimize.v.01 wrong.v.01: some get.v.01 wrong.v.01; no get.v.01 wrong.v.01
some leader.n.01 silversmith.n.01, all silversmith.n.01 jewelry_maker.n.01: some leader.n.01 jewelry_maker.n.01; no leader.n.01 jewelry_maker.n.01
some make.v.03 record.v.01, all record.v.01 save.v.02: some make.v.03 save.v.02; no make.v.03 save.v.02
some material.n.01 covering.n.01, all covering.n.01 natural_object.n.01: some material.n.01 natural_object.n.01; no material.n.01 natural_object.n.01
some blemish.n.01 disease.n.01, all disease.n.01 illness.n.01: some blemish.n.01 illness.n.01; no blemish.n.01 illness.n.01
some table.n.01 list.n.01, all list.n.01 database.n.01: some table.n.01 database.n.01; no table.n.01 database.n.01
some critic.n.01 poet.n.01, all poet.n.01 writer.n.01: some critic.n.01 writer.n.01; no critic.n.01 writer.n.01
some politician.n.02 lawyer.n.01, all lawyer.n.01 professional.n.01: some politician.n.02 professional.n.01; no politician.n.02 professional.n.01
some man.n.01 parent.n.01, all parent.n.01 genitor.n.01: some man.n.01 genitor.n.01; no man.n.01 genitor.n.01
some enlargement.n.02 symptom.n.01, all symptom.n.01 evidence.n.01: some enlargement.n.02 evidence.n.01; no enlargement.n.02 evidence.n.01
some composer.n.01 bandmaster.n.01, all bandmaster.n.01 conductor.n.01: some composer.n.01 conductor.n.01; no composer.n.01 conductor.n.01
some believer.n.02 disciple.n.01, all disciple.n.01 follower.n.01: some believer.n.02 follower.n.01; no believer.n.02 follower.n.01
some mark.n.04 identification.n.02, all identification.n.02 evidence.n.02: some mark.n.04 evidence.n.02; no mark.n.04 evidence.n.02
some burn.n.03 erythema.n.01, all erythema.n.01 erythroderma.n.01: some burn.n.03 erythroderma.n.01; no burn.n.03 erythroderma.n.01
some procedure.n.01 radiography.n.02, all radiography.n.02 photography.n.01: some procedure.n.01 photography.n.01; no procedure.n.01 photography.n.01
some region.n.03 tableland.n.01, all tableland.n.01 highland.n.01: some region.n.03 highland.n.01; no region.n.03 highland.n.01
some anatomist.n.01 physiologist.n.01, all physiologist.n.01 biologist.n.01: some anatomist.n.01 biologist.n.01; no anatomist.n.01 biologist.n.01
some hardware.n.03 device.n.01, all device.n.01 instrumentality.n.03: some hardware.n.03 instrumentality.n.03; no hardware.n.03 instrumentality.n.03
some aid.n.03 prize.n.01, all prize.n.01 gift.n.01: some aid.n.03 gift.n.01; no aid.n.03 gift.n.01
some chemical.n.01 pigment.n.01, all pigment.n.01 coloring_material.n.01: some chemical.n.01 coloring_material.n.01; no chemical.n.01 coloring_material.n.01
some philosopher.n.01 athenian.n.01, all athenian.n.01 greek.n.02: some philosopher.n.01 greek.n.02; no philosopher.n.01 greek.n.02
some draw.v.06 paint.v.01, all paint.v.01 create.v.03: some draw.v.06 create.v.03; no draw.v.06 create.v.03
some land.n.02 location.n.01, all location.n.01 object.n.01: some land.n.02 object.n.01; no land.n.02 object.n.01
some bass.n.07 brass.n.02, all brass.n.02 wind_instrument.n.01: some bass.n.07 wind_instrument.n.01; no bass.n.07 wind_instrument.n.01
some component.n.03 instrumentality.n.03, all instrumentality.n.03 artifact.n.01: some component.n.03 artifact.n.01; no component.n.03 artifact.n.01
some actor.n.01 singer.n.01, all singer.n.01 musician.n.01: some actor.n.01 musician.n.01; no actor.n.01 musician.n.01
some request.n.02 letter.n.01, all letter.n.01 text.n.01: some request.n.02 text.n.01; no request.n.02 text.n.01
some gem.n.02 feldspar.n.01, all feldspar.n.01 spar.n.01: some gem.n.02 spar.n.01; no gem.n.02 spar.n.01
some explorer.n.01 ethnologist.n.01, all ethnologist.n.01 anthropologist.n.01: some explorer.n.01 anthropologist.n.01; no explorer.n.01 anthropologist.n.01
some apparel.n.01 trouser.n.01, all trouser.n.01 garment.n.01: some apparel.n.01 garment.n.01; no apparel.n.01 garment.n.01
some boson.n.01 hadron.n.01, all hadron.n.01 elementary_particle.n.01: some boson.n.01 elementary_particle.n.01; no boson.n.01 elementary_particle.n.01
some rate.n.01 sign.n.06, all sign.n.06 evidence.n.01: some rate.n.01 evidence.n.01; no rate.n.01 evidence.n.01
some dramatist.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some dramatist.n.01 politician.n.02; no dramatist.n.01 politician.n.02
some courage.n.01 virtue.n.04, all virtue.n.04 good.n.02: some courage.n.01 good.n.02; no courage.n.01 good.n.02
some saint.n.01 theologian.n.01, all theologian.n.01 scholar.n.01: some saint.n.01 scholar.n.01; no saint.n.01 scholar.n.01
