all space.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all space.n.01 entity.n.01; some-not space.n.01 entity.n.01
all misfortune.n.01 trouble.n.03, all trouble.n.03 entity.n.01: all misfortune.n.01 entity.n.01; some-not misfortune.n.01 entity.n.01
all script.n.03 writing.n.04, all writing.n.04 entity.n.01: all script.n.03 entity.n.01; some-not script.n.03 entity.n.01
all temperature_change.n.01 natural_process.n.01, all natural_process.n.01 process.n.06: all temperature_change.n.01 process.n.06; some-not temperature_change.n.01 process.n.06
all toxin.n.01 poison.n.01, all poison.n.01 physical_entity.n.01: all toxin.n.01 physical_entity.n.01; some-not toxin.n.01 physical_entity.n.01
all skilled_worker.n.01 person.n.01, all person.n.01 physical_entity.n.01: all skilled_worker.n.01 physical_entity.n.01; some-not skilled_worker.n.01 physical_entity.n.01
all organism.n.01 object.n.01, all object.n.01 physical_entity.n.01: all organism.n.01 physical_entity.n.01; some-not organism.n.01 physical_entity.n.01
all slave.n.01 person.n.01, all person.n.01 physical_entity.n.01: all slave.n.01 physical_entity.n.01; some-not slave.n.01 physical_entity.n.01
all spectator.n.01 perceiver.n.01, all perceiver.n.01 entity.n.01: all spectator.n.01 entity.n.01; some-not spectator.n.01 entity.n.01
all mountain.n.01 object.n.01, all object.n.01 entity.n.01: all mountain.n.01 entity.n.01; some-not mountain.n.01 entity.n.01
all sport.n.01 event.n.01, all event.n.01 abstraction.n.06: all sport.n.01 abstraction.n.06; some-not sport.n.01 abstraction.n.06
all inventor.n.01 creator.n.02, all creator.n.02 physical_entity.n.01: all inventor.n.01 physical_entity.n.01; some-not inventor.n.01 physical_entity.n.01
all unfortunate.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all unfortunate.n.01 entity.n.01; some-not unfortunate.n.01 entity.n.01
all whole.n.02 object.n.01, all object.n.01 entity.n.01: all whole.n.02 entity.n.01; some-not whole.n.02 entity.n.01
all corticosteroid.n.01 steroid_hormone.n.01, all steroid_hormone.n.01 hormone.n.01: all corticosteroid.n.01 hormone.n.01; some-not corticosteroid.n.01 hormone.n.01
all instrumentality.n.03 object.n.01, all object.n.01 entity.n.01: all instrumentality.n.03 entity.n.01; some-not instrumentality.n.03 entity.n.01
all magnet.n.01 device.n.01, all device.n.01 physical_entity.n.01: all magnet.n.01 physical_entity.n.01; some-not magnet.n.01 physical_entity.n.01
all spiritual_leader.n.01 leader.n.01, all leader.n.01 physical_entity.n.01: all spiritual_leader.n.01 physical_entity.n.01; some-not spiritual_leader.n.01 physical_entity.n.01
all silica.n.01 chemical.n.01, all chemical.n.01 entity.n.01: all silica.n.01 entity.n.01; some-not silica.n.01 entity.n.01
all material.n.01 substance.n.01, all substance.n.01 entity.n.01: all material.n.01 entity.n.01; some-not material.n.01 entity.n.01
all bonus.n.02 relation.n.01, all relation.n.01 abstraction.n.06: all bonus.n.02 abstraction.n.06; some-not bonus.n.02 abstraction.n.06
all wrapping.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: all wrapping.n.01 physical_entity.n.01; some-not wrapping.n.01 physical_entity.n.01
all condition.n.01 state.n.02, all state.n.02 entity.n.01: all condition.n.01 entity.n.01; some-not condition.n.01 entity.n.01
all tumor.n.01 attribute.n.02, all attribute.n.02 abstraction.n.06: all tumor.n.01 abstraction.n.06; some-not tumor.n.01 abstraction.n.06
all activity.n.01 event.n.01, all event.n.01 psychological_feature.n.01: all activity.n.01 psychological_feature.n.01; some-not activity.n.01 psychological_feature.n.01
all work.n.01 activity.n.01, all activity.n.01 entity.n.01: all work.n.01 entity.n.01; some-not work.n.01 entity.n.01
all halogen.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all halogen.n.01 entity.n.01; some-not halogen.n.01 entity.n.01
all interest.n.03 quality.n.01, all quality.n.01 abstraction.n.06: all interest.n.03 abstraction.n.06; some-not interest.n.03 abstraction.n.06
all attendant.n.01 assistant.n.01, all assistant.n.01 worker.n.01: all attendant.n.01 worker.n.01; some-not attendant.n.01 worker.n.01
all mineral.n.01 material.n.01, all material.n.01 entity.n.01: all mineral.n.01 entity.n.01; some-not mineral.n.01 entity.n.01
all instrumentality.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all instrumentality.n.03 entity.n.01; some-not instrumentality.n.03 entity.n.01
all communist.n.02 socialist.n.01, all socialist.n.01 person.n.01: all communist.n.02 person.n.01; some-not communist.n.02 person.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all impress.v.04 change_surface.v.01, all change_surface.v.01 change.v.02: all impress.v.04 change.v.02; some-not impress.v.04 change.v.02
all dictator.n.02 ruler.n.01, all ruler.n.01 entity.n.01: all dictator.n.02 entity.n.01; some-not dictator.n.02 entity.n.01
all alcohol.n.02 liquid.n.01, all liquid.n.01 substance.n.01: all alcohol.n.02 substance.n.01; some-not alcohol.n.02 substance.n.01
all leather.n.01 animal_skin.n.01, all animal_skin.n.01 substance.n.01: all leather.n.01 substance.n.01; some-not leather.n.01 substance.n.01
all liveliness.n.02 attribute.n.02, all attribute.n.02 abstraction.n.06: all liveliness.n.02 abstraction.n.06; some-not liveliness.n.02 abstraction.n.06
all quality.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all quality.n.01 entity.n.01; some-not quality.n.01 entity.n.01
all digit.n.03 extremity.n.01, all extremity.n.01 part.n.03: all digit.n.03 part.n.03; some-not digit.n.03 part.n.03
all medical_practitioner.n.01 health_professional.n.01, all health_professional.n.01 person.n.01: all medical_practitioner.n.01 person.n.01; some-not medical_practitioner.n.01 person.n.01
all activator.n.01 substance.n.01, all substance.n.01 entity.n.01: all activator.n.01 entity.n.01; some-not activator.n.01 entity.n.01
all performer.n.01 entertainer.n.01, all entertainer.n.01 physical_entity.n.01: all performer.n.01 physical_entity.n.01; some-not performer.n.01 physical_entity.n.01
all room.n.01 artifact.n.01, all artifact.n.01 whole.n.02: all room.n.01 whole.n.02; some-not room.n.01 whole.n.02
all consumer.n.01 user.n.01, all user.n.01 entity.n.01: all consumer.n.01 entity.n.01; some-not consumer.n.01 entity.n.01
all mixture.n.01 substance.n.01, all substance.n.01 entity.n.01: all mixture.n.01 entity.n.01; some-not mixture.n.01 entity.n.01
all environmentalist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all environmentalist.n.01 entity.n.01; some-not environmentalist.n.01 entity.n.01
all guard.n.06 unit.n.03, all unit.n.03 entity.n.01: all guard.n.06 entity.n.01; some-not guard.n.06 entity.n.01
all agent.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all agent.n.03 entity.n.01; some-not agent.n.03 entity.n.01
all grip.v.01 seize.v.01, all seize.v.01 take.v.04: all grip.v.01 take.v.04; some-not grip.v.01 take.v.04
all burn.n.03 injury.n.01, all injury.n.01 entity.n.01: all burn.n.03 entity.n.01; some-not burn.n.03 entity.n.01
all immune.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all immune.n.01 entity.n.01; some-not immune.n.01 entity.n.01
all abolitionist.n.01 disputant.n.01, all disputant.n.01 entity.n.01: all abolitionist.n.01 entity.n.01; some-not abolitionist.n.01 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 entity.n.01: all artifact.n.01 entity.n.01; some-not artifact.n.01 entity.n.01
all sexual_activity.n.01 process.n.06, all process.n.06 physical_entity.n.01: all sexual_activity.n.01 physical_entity.n.01; some-not sexual_activity.n.01 physical_entity.n.01
all negotiator.n.01 communicator.n.01, all communicator.n.01 entity.n.01: all negotiator.n.01 entity.n.01; some-not negotiator.n.01 entity.n.01
all astronaut.n.01 person.n.01, all person.n.01 physical_entity.n.01: all astronaut.n.01 physical_entity.n.01; some-not astronaut.n.01 physical_entity.n.01
all planning.n.01 event.n.01, all event.n.01 entity.n.01: all planning.n.01 entity.n.01; some-not planning.n.01 entity.n.01
all music.n.01 auditory_communication.n.01, all auditory_communication.n.01 abstraction.n.06: all music.n.01 abstraction.n.06; some-not music.n.01 abstraction.n.06
all natural_science.n.01 content.n.05, all content.n.05 psychological_feature.n.01: all natural_science.n.01 psychological_feature.n.01; some-not natural_science.n.01 psychological_feature.n.01
all island.n.01 land.n.04, all land.n.04 object.n.01: all island.n.01 object.n.01; some-not island.n.01 object.n.01
all apostle.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all apostle.n.03 entity.n.01; some-not apostle.n.03 entity.n.01
all popular_music.n.01 communication.n.02, all communication.n.02 abstraction.n.06: all popular_music.n.01 abstraction.n.06; some-not popular_music.n.01 abstraction.n.06
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all chemical_process.n.01 process.n.06, all process.n.06 entity.n.01: all chemical_process.n.01 entity.n.01; some-not chemical_process.n.01 entity.n.01
all gift.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all gift.n.01 entity.n.01; some-not gift.n.01 entity.n.01
all lodge.n.05 housing.n.01, all housing.n.01 whole.n.02: all lodge.n.05 whole.n.02; some-not lodge.n.05 whole.n.02
all device.n.01 artifact.n.01, all artifact.n.01 physical_entity.n.01: all device.n.01 physical_entity.n.01; some-not device.n.01 physical_entity.n.01
all advocate.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all advocate.n.01 entity.n.01; some-not advocate.n.01 entity.n.01
all waste.n.01 material.n.01, all material.n.01 substance.n.01: all waste.n.01 substance.n.01; some-not waste.n.01 substance.n.01
all stroke.n.12 action.n.01, all action.n.01 psychological_feature.n.01: all stroke.n.12 psychological_feature.n.01; some-not stroke.n.12 psychological_feature.n.01
all process.n.06 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all process.n.06 entity.n.01; some-not process.n.06 entity.n.01
all communication.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all communication.n.02 entity.n.01; some-not communication.n.02 entity.n.01
all course.n.07 food.n.01, all food.n.01 physical_entity.n.01: all course.n.07 physical_entity.n.01; some-not course.n.07 physical_entity.n.01
all location.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all location.n.01 entity.n.01; some-not location.n.01 entity.n.01
all plant.n.02 object.n.01, all object.n.01 physical_entity.n.01: all plant.n.02 physical_entity.n.01; some-not plant.n.02 physical_entity.n.01
all idea.n.01 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all idea.n.01 entity.n.01; some-not idea.n.01 entity.n.01
all knife.n.01 implement.n.01, all implement.n.01 physical_entity.n.01: all knife.n.01 physical_entity.n.01; some-not knife.n.01 physical_entity.n.01
all trait.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all trait.n.01 entity.n.01; some-not trait.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all chordate.n.01 animal.n.01, all animal.n.01 organism.n.01: all chordate.n.01 organism.n.01; some-not chordate.n.01 organism.n.01
all food.n.02 matter.n.03, all matter.n.03 physical_entity.n.01: all food.n.02 physical_entity.n.01; some-not food.n.02 physical_entity.n.01
all mechanism.n.03 natural_object.n.01, all natural_object.n.01 entity.n.01: all mechanism.n.03 entity.n.01; some-not mechanism.n.03 entity.n.01
all pueblo.n.01 amerindian.n.01, all amerindian.n.01 physical_entity.n.01: all pueblo.n.01 physical_entity.n.01; some-not pueblo.n.01 physical_entity.n.01
all remedy.n.02 drug.n.01, all drug.n.01 entity.n.01: all remedy.n.02 entity.n.01; some-not remedy.n.02 entity.n.01
all joy.n.01 state.n.02, all state.n.02 attribute.n.02: all joy.n.01 attribute.n.02; some-not joy.n.01 attribute.n.02
all social_group.n.01 group.n.01, all group.n.01 entity.n.01: all social_group.n.01 entity.n.01; some-not social_group.n.01 entity.n.01
all correctional_institution.n.01 establishment.n.04, all establishment.n.04 object.n.01: all correctional_institution.n.01 object.n.01; some-not correctional_institution.n.01 object.n.01
all pleasure.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all pleasure.n.01 entity.n.01; some-not pleasure.n.01 entity.n.01
all alkaloid.n.01 organic_compound.n.01, all organic_compound.n.01 compound.n.02: all alkaloid.n.01 compound.n.02; some-not alkaloid.n.01 compound.n.02
all substance.n.07 matter.n.03, all matter.n.03 physical_entity.n.01: all substance.n.07 physical_entity.n.01; some-not substance.n.07 physical_entity.n.01
all appellation.n.01 language_unit.n.01, all language_unit.n.01 part.n.01: all appellation.n.01 part.n.01; some-not appellation.n.01 part.n.01
all artist.n.01 person.n.01, all person.n.01 entity.n.01: all artist.n.01 entity.n.01; some-not artist.n.01 entity.n.01
all artifact.n.01 object.n.01, all object.n.01 entity.n.01: all artifact.n.01 entity.n.01; some-not artifact.n.01 entity.n.01
all transgress.v.01 relate.v.05, all relate.v.05 interact.v.01: all transgress.v.01 interact.v.01; some-not transgress.v.01 interact.v.01
all land.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all land.n.02 entity.n.01; some-not land.n.02 entity.n.01
all decoration.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all decoration.n.01 entity.n.01; some-not decoration.n.01 entity.n.01
all manner.n.01 property.n.02, all property.n.02 abstraction.n.06: all manner.n.01 abstraction.n.06; some-not manner.n.01 abstraction.n.06
all woman.n.01 person.n.01, all person.n.01 physical_entity.n.01: all woman.n.01 physical_entity.n.01; some-not woman.n.01 physical_entity.n.01
all musician.n.02 person.n.01, all person.n.01 physical_entity.n.01: all musician.n.02 physical_entity.n.01; some-not musician.n.02 physical_entity.n.01
all classicist.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all classicist.n.02 entity.n.01; some-not classicist.n.02 entity.n.01
all structure.n.01 object.n.01, all object.n.01 entity.n.01: all structure.n.01 entity.n.01; some-not structure.n.01 entity.n.01
all writer.n.01 person.n.01, all person.n.01 physical_entity.n.01: all writer.n.01 physical_entity.n.01; some-not writer.n.01 physical_entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all creator.n.02 person.n.01, all person.n.01 physical_entity.n.01: all creator.n.02 physical_entity.n.01; some-not creator.n.02 physical_entity.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: all act.n.02 abstraction.n.06; some-not act.n.02 abstraction.n.06
all measurement.n.01 activity.n.01, all activity.n.01 entity.n.01: all measurement.n.01 entity.n.01; some-not measurement.n.01 entity.n.01
all glucose.n.01 carbohydrate.n.01, all carbohydrate.n.01 macromolecule.n.01: all glucose.n.01 macromolecule.n.01; some-not glucose.n.01 macromolecule.n.01
all archpriest.n.01 priest.n.01, all priest.n.01 entity.n.01: all archpriest.n.01 entity.n.01; some-not archpriest.n.01 entity.n.01
all device.n.01 artifact.n.01, all artifact.n.01 physical_entity.n.01: all device.n.01 physical_entity.n.01; some-not device.n.01 physical_entity.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all act.n.02 entity.n.01; some-not act.n.02 entity.n.01
all doctor.n.01 health_professional.n.01, all health_professional.n.01 person.n.01: all doctor.n.01 person.n.01; some-not doctor.n.01 person.n.01
all artifact.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all artifact.n.01 entity.n.01; some-not artifact.n.01 entity.n.01
all shirt.n.01 garment.n.01, all garment.n.01 whole.n.02: all shirt.n.01 whole.n.02; some-not shirt.n.01 whole.n.02
all non-market_economy.n.01 economy.n.01, all economy.n.01 entity.n.01: all non-market_economy.n.01 entity.n.01; some-not non-market_economy.n.01 entity.n.01
all mediator.n.01 negotiator.n.01, all negotiator.n.01 person.n.01: all mediator.n.01 person.n.01; some-not mediator.n.01 person.n.01
all lumberman.n.01 laborer.n.01, all laborer.n.01 workman.n.01: all lumberman.n.01 workman.n.01; some-not lumberman.n.01 workman.n.01
all living_thing.n.01 object.n.01, all object.n.01 physical_entity.n.01: all living_thing.n.01 physical_entity.n.01; some-not living_thing.n.01 physical_entity.n.01
all manipulate.v.02 handle.v.04, all handle.v.04 touch.v.01: all manipulate.v.02 touch.v.01; some-not manipulate.v.02 touch.v.01
all philosopher.n.01 scholar.n.01, all scholar.n.01 person.n.01: all philosopher.n.01 person.n.01; some-not philosopher.n.01 person.n.01
all action.n.01 event.n.01, all event.n.01 abstraction.n.06: all action.n.01 abstraction.n.06; some-not action.n.01 abstraction.n.06
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all sport.n.01 activity.n.01, all activity.n.01 event.n.01: all sport.n.01 event.n.01; some-not sport.n.01 event.n.01
all pilot.n.01 worker.n.01, all worker.n.01 person.n.01: all pilot.n.01 person.n.01; some-not pilot.n.01 person.n.01
all faculty.n.01 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all faculty.n.01 entity.n.01; some-not faculty.n.01 entity.n.01
all botanist.n.01 scientist.n.01, all scientist.n.01 person.n.01: all botanist.n.01 person.n.01; some-not botanist.n.01 person.n.01
all placental.n.01 living_thing.n.01, all living_thing.n.01 object.n.01: all placental.n.01 object.n.01; some-not placental.n.01 object.n.01
all machine.n.01 instrumentality.n.03, all instrumentality.n.03 object.n.01: all machine.n.01 object.n.01; some-not machine.n.01 object.n.01
all fluid.n.02 matter.n.03, all matter.n.03 physical_entity.n.01: all fluid.n.02 physical_entity.n.01; some-not fluid.n.02 physical_entity.n.01
all social_scientist.n.01 scientist.n.01, all scientist.n.01 entity.n.01: all social_scientist.n.01 entity.n.01; some-not social_scientist.n.01 entity.n.01
all writing.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all writing.n.02 entity.n.01; some-not writing.n.02 entity.n.01
all disease.n.01 state.n.02, all state.n.02 entity.n.01: all disease.n.01 entity.n.01; some-not disease.n.01 entity.n.01
all shape.v.02 create_from_raw_material.v.01, all create_from_raw_material.v.01 make.v.03: all shape.v.02 make.v.03; some-not shape.v.02 make.v.03
all performer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all performer.n.01 entity.n.01; some-not performer.n.01 entity.n.01
all magnitude.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all magnitude.n.01 entity.n.01; some-not magnitude.n.01 entity.n.01
all belief.n.01 content.n.05, all content.n.05 cognition.n.01: all belief.n.01 cognition.n.01; some-not belief.n.01 cognition.n.01
all employee.n.01 person.n.01, all person.n.01 entity.n.01: all employee.n.01 entity.n.01; some-not employee.n.01 entity.n.01
all county.n.01 location.n.01, all location.n.01 physical_entity.n.01: all county.n.01 physical_entity.n.01; some-not county.n.01 physical_entity.n.01
all resin.n.01 compound.n.02, all compound.n.02 chemical.n.01: all resin.n.01 chemical.n.01; some-not resin.n.01 chemical.n.01
all instrumentality.n.03 whole.n.02, all whole.n.02 physical_entity.n.01: all instrumentality.n.03 physical_entity.n.01; some-not instrumentality.n.03 physical_entity.n.01
all death.n.01 change.n.01, all change.n.01 psychological_feature.n.01: all death.n.01 psychological_feature.n.01; some-not death.n.01 psychological_feature.n.01
all communication.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all communication.n.02 entity.n.01; some-not communication.n.02 entity.n.01
all legislator.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all legislator.n.01 entity.n.01; some-not legislator.n.01 entity.n.01
all analgesic.n.01 agent.n.03, all agent.n.03 physical_entity.n.01: all analgesic.n.01 physical_entity.n.01; some-not analgesic.n.01 physical_entity.n.01
all criminal.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all criminal.n.01 entity.n.01; some-not criminal.n.01 entity.n.01
all toilet.n.01 room.n.01, all room.n.01 structure.n.01: all toilet.n.01 structure.n.01; some-not toilet.n.01 structure.n.01
all agent.n.01 causal_agent.n.01, all causal_agent.n.01 entity.n.01: all agent.n.01 entity.n.01; some-not agent.n.01 entity.n.01
all good.n.02 quality.n.01, all quality.n.01 entity.n.01: all good.n.02 entity.n.01; some-not good.n.02 entity.n.01
all light.n.07 attribute.n.02, all attribute.n.02 entity.n.01: all light.n.07 entity.n.01; some-not light.n.07 entity.n.01
all equipment.n.01 instrumentality.n.03, all instrumentality.n.03 artifact.n.01: all equipment.n.01 artifact.n.01; some-not equipment.n.01 artifact.n.01
all termination.n.05 change.n.03, all change.n.03 psychological_feature.n.01: all termination.n.05 psychological_feature.n.01; some-not termination.n.05 psychological_feature.n.01
all communication.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all communication.n.02 entity.n.01; some-not communication.n.02 entity.n.01
all change_of_state.n.01 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all change_of_state.n.01 entity.n.01; some-not change_of_state.n.01 entity.n.01
all merchant.n.01 businessperson.n.01, all businessperson.n.01 entity.n.01: all merchant.n.01 entity.n.01; some-not merchant.n.01 entity.n.01
all emperor.n.01 person.n.01, all person.n.01 physical_entity.n.01: all emperor.n.01 physical_entity.n.01; some-not emperor.n.01 physical_entity.n.01
all liquid.n.01 substance.n.01, all substance.n.01 entity.n.01: all liquid.n.01 entity.n.01; some-not liquid.n.01 entity.n.01
all event.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: all event.n.01 abstraction.n.06; some-not event.n.01 abstraction.n.06
all musician.n.02 person.n.01, all person.n.01 physical_entity.n.01: all musician.n.02 physical_entity.n.01; some-not musician.n.02 physical_entity.n.01
all depression.n.04 sadness.n.01, all sadness.n.01 feeling.n.01: all depression.n.04 feeling.n.01; some-not depression.n.04 feeling.n.01
all statesman.n.01 person.n.01, all person.n.01 entity.n.01: all statesman.n.01 entity.n.01; some-not statesman.n.01 entity.n.01
all discontentment.n.01 desire.n.01, all desire.n.01 feeling.n.01: all discontentment.n.01 feeling.n.01; some-not discontentment.n.01 feeling.n.01
all nude.n.03 person.n.01, all person.n.01 physical_entity.n.01: all nude.n.03 physical_entity.n.01; some-not nude.n.03 physical_entity.n.01
all olivine.n.01 substance.n.01, all substance.n.01 entity.n.01: all olivine.n.01 entity.n.01; some-not olivine.n.01 entity.n.01
all berry.n.01 edible_fruit.n.01, all edible_fruit.n.01 physical_entity.n.01: all berry.n.01 physical_entity.n.01; some-not berry.n.01 physical_entity.n.01
all container.n.01 instrumentality.n.03, all instrumentality.n.03 entity.n.01: all container.n.01 entity.n.01; some-not container.n.01 entity.n.01
all covering.n.02 whole.n.02, all whole.n.02 entity.n.01: all covering.n.02 entity.n.01; some-not covering.n.02 entity.n.01
all belief.n.01 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all belief.n.01 entity.n.01; some-not belief.n.01 entity.n.01
all list.n.01 database.n.01, all database.n.01 information.n.01: all list.n.01 information.n.01; some-not list.n.01 information.n.01
all complete.v.01 end.v.02, all end.v.02 change.v.01: all complete.v.01 change.v.01; some-not complete.v.01 change.v.01
all geologist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all geologist.n.01 entity.n.01; some-not geologist.n.01 entity.n.01
all martyr.n.02 victim.n.01, all victim.n.01 unfortunate.n.01: all martyr.n.02 unfortunate.n.01; some-not martyr.n.02 unfortunate.n.01
all librettist.n.01 communicator.n.01, all communicator.n.01 person.n.01: all librettist.n.01 person.n.01; some-not librettist.n.01 person.n.01
all model.n.04 creation.n.02, all creation.n.02 object.n.01: all model.n.04 object.n.01; some-not model.n.04 object.n.01
all work.n.01 event.n.01, all event.n.01 psychological_feature.n.01: all work.n.01 psychological_feature.n.01; some-not work.n.01 psychological_feature.n.01
all foal.n.01 living_thing.n.01, all living_thing.n.01 object.n.01: all foal.n.01 object.n.01; some-not foal.n.01 object.n.01
all musical_instrument.n.01 artifact.n.01, all artifact.n.01 entity.n.01: all musical_instrument.n.01 entity.n.01; some-not musical_instrument.n.01 entity.n.01
all navigator.n.03 person.n.01, all person.n.01 physical_entity.n.01: all navigator.n.03 physical_entity.n.01; some-not navigator.n.03 physical_entity.n.01
all part.n.02 object.n.01, all object.n.01 physical_entity.n.01: all part.n.02 physical_entity.n.01; some-not part.n.02 physical_entity.n.01
all nurse.n.01 adult.n.01, all adult.n.01 person.n.01: all nurse.n.01 person.n.01; some-not nurse.n.01 person.n.01
all pesticide.n.01 chemical.n.01, all chemical.n.01 material.n.01: all pesticide.n.01 material.n.01; some-not pesticide.n.01 material.n.01
all whole.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all whole.n.02 entity.n.01; some-not whole.n.02 entity.n.01
all adjective.n.01 content_word.n.01, all content_word.n.01 language_unit.n.01: all adjective.n.01 language_unit.n.01; some-not adjective.n.01 language_unit.n.01
all comedian.n.01 entertainer.n.01, all entertainer.n.01 physical_entity.n.01: all comedian.n.01 physical_entity.n.01; some-not comedian.n.01 physical_entity.n.01
all living_thing.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all living_thing.n.01 entity.n.01; some-not living_thing.n.01 entity.n.01
all apprehension.n.01 fear.n.01, all fear.n.01 feeling.n.01: all apprehension.n.01 feeling.n.01; some-not apprehension.n.01 feeling.n.01
all cut.n.18 action.n.01, all action.n.01 entity.n.01: all cut.n.18 entity.n.01; some-not cut.n.18 entity.n.01
all dissociation.n.02 state.n.02, all state.n.02 abstraction.n.06: all dissociation.n.02 abstraction.n.06; some-not dissociation.n.02 abstraction.n.06
all material.n.01 substance.n.01, all substance.n.01 entity.n.01: all material.n.01 entity.n.01; some-not material.n.01 entity.n.01
all program.n.05 message.n.02, all message.n.02 entity.n.01: all program.n.05 entity.n.01; some-not program.n.05 entity.n.01
all lecturer.n.02 articulator.n.01, all articulator.n.01 person.n.01: all lecturer.n.02 person.n.01; some-not lecturer.n.02 person.n.01
all event.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all event.n.01 entity.n.01; some-not event.n.01 entity.n.01
all molecule.n.01 thing.n.12, all thing.n.12 physical_entity.n.01: all molecule.n.01 physical_entity.n.01; some-not molecule.n.01 physical_entity.n.01
all commodity.n.01 whole.n.02, all whole.n.02 object.n.01: all commodity.n.01 object.n.01; some-not commodity.n.01 object.n.01
all database.n.01 message.n.02, all message.n.02 communication.n.02: all database.n.01 communication.n.02; some-not database.n.01 communication.n.02
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all object.n.01 entity.n.01; some-not object.n.01 entity.n.01
all estate.n.02 possession.n.02, all possession.n.02 entity.n.01: all estate.n.02 entity.n.01; some-not estate.n.02 entity.n.01
all neurochemical.n.01 organic_compound.n.01, all organic_compound.n.01 substance.n.01: all neurochemical.n.01 substance.n.01; some-not neurochemical.n.01 substance.n.01
all black.n.05 person.n.01, all person.n.01 physical_entity.n.01: all black.n.05 physical_entity.n.01; some-not black.n.05 physical_entity.n.01
all actor.n.01 entertainer.n.01, all entertainer.n.01 physical_entity.n.01: all actor.n.01 physical_entity.n.01; some-not actor.n.01 physical_entity.n.01
all heading.n.01 writing.n.02, all writing.n.02 written_communication.n.01: all heading.n.01 written_communication.n.01; some-not heading.n.01 written_communication.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: all whole.n.02 physical_entity.n.01; some-not whole.n.02 physical_entity.n.01
all protestant.n.01 christian.n.01, all christian.n.01 physical_entity.n.01: all protestant.n.01 physical_entity.n.01; some-not protestant.n.01 physical_entity.n.01
all procedure.n.01 activity.n.01, all activity.n.01 psychological_feature.n.01: all procedure.n.01 psychological_feature.n.01; some-not procedure.n.01 psychological_feature.n.01
all natural_elevation.n.01 object.n.01, all object.n.01 physical_entity.n.01: all natural_elevation.n.01 physical_entity.n.01; some-not natural_elevation.n.01 physical_entity.n.01
all guitarist.n.01 performer.n.01, all performer.n.01 person.n.01: all guitarist.n.01 person.n.01; some-not guitarist.n.01 person.n.01
